""" N. papuana "" has a racemose inflorescence , while that of "" N. neoguineensis "" is a panicle or panicle-like raceme ."	raceme	Corybas acuminatus Corybas acuminatus , commonly known as the dancing spider orchid or helmet flower , is a species of terrestrial orchid endemic to New Zealand .	flower	1
The aircraft became airborne prior to the runway 2000 foot point , and flew over the snowplow at 50 to 70 feet of altitude .	snowplow	His private motor vehicle had also been purchased with the help of certain businessmen , the parliamentarian claimed .	vehicle	1
Luetzelburgia Luetzelburgia ( common names include sucupira and angelim ) is a genus of flowering plants in the legume family , Fabaceae .	angelim	As a result of the stroke , when he was an infant , doctors told his parents that he might live his life as a vegetable .	vegetable	0
This lifeboat was permanently kept at anchor on the north side of Walton Pier .	lifeboat	The factory building features segmental arched window openings and a parapet .	building	0
The sampan was soon a wreck .	sampan	With a total sales of 250,790 for the year of 2002 , it became the best-selling vehicle in Japan , which is a first for a Honda model .	vehicle	1
"Thus one only has to find a compass and straightedge construction for "" n "" - gons where "" n "" is a Fermat prime ."	straightedge	Longhouse Media supports the use of today ’s technologies by indigenous people and communities as a tool for self-expression , cultural preservation , and social change .	tool	1
Its odor is considered similar to that of the bergamot orange ( the source of bergamot oil used to flavor Earl Grey tea ) .	bergamot	Several species of honeyeater visit the flower spikes , as does the honey possum , which has an important role as a pollinator .	flower	0
"The following day the group seized the brigantine "" San Pablo "" , which was used to transport sick and injured sailors as well as the liberated prisoners ."	brigantine	Tegile provides a storage management tool .	tool	0
"An inscription of the Chola ruler Kulothunga refers the Kantalur salai in the Ay kingdom as "" salai of the Chera "" ."	salai	Four of the tree 's subpopulations ( of 13 ) are within protected areas .	tree	1
The video ends showing the Statue of Liberty waving the airship off .	airship	Clara offered to raze the building at her own expense .	building	0
His therapist gets on his sailboat which he has painted and drawn a similar Skull 'n' Crossbones on to what Don drew .	sailboat	In the early 1980s , it had both a vehicle assembly plant and an engine plant in Struandale , together with an older assembly plant in Neave .	vehicle	1
The Groove is powered by a 1.0 L diesel engine that is similar to the one powering the current Chevy Spark , a minicar sold in Asia .	minicar	With those characteristics , the Piranha is expected to be sold as a possible tool for anti-piracy , search and rescue , submarine hunting , and harbor patrol .	tool	0
"The larvae feed on "" Sinapsis alba "" , "" Arctotheca calendula "" and is considered a pest on "" Brassica rapa "" ."	calendula	It was set into the raised natural stone surface of a large , raised , circular flower bed .	flower	1
Radicchio farmers of the Veneto have sought to have Protected Geographical Status applied to the names of some radicchio varieties including ' Tardivo ' .	radicchio	According to the RKD he was the son of Jan Albertsz Rotius , and specialized in flower and vegetable still life paintings .	vegetable	1
Ranunculus auricomus Ranunculus auricomus , known as goldilocks buttercup or Greenland buttercup , is a perennial species of buttercup native to Eurasia .	goldilocks	It stood there like a humble little flower under the cover of the great forest , sought neither for its splendor nor its fragrance nor its food value .	flower	1
Today , it is the Affinia Gardens hotel .	hotel	The player can equip one hand with a weapon , and the other with a passive tool , such as a lamp for dark areas .	tool	0
"On 8 February , she rescued survivors from "" Natsushio "" and on 5 March assisted the destroyer in sinking a Royal Navy minelayer ."	minelayer	Officer 's tool The Officer 's tool ( or A tool ) is forcible entry tool used by firefighters .	tool	0
It was approved for release in the United States in 1995 for the biological control of toadflax .	toadflax	Two commonly used algorithms for the classical minimum spanning tree problem are Prim ’s algorithm and Kruskal ’s algorithm .	tree	0
"The "" Nomos , "" another trireme originally built for Clash of the Titans , is preserved at Charlestown Shipwreck Museum in Cornwall ."	trireme	Muelya , Winter , Zimmer and the driver of the vehicle were seriously injured while the two occupants of the other vehicle died in the crash .	vehicle	1
Carter and his Sherpa guide enter the lamasery .	lamasery	The basic building block is shown in the figure ) .	building	1
"Closing "" Glennon "" , "" Rich "" dispatched a whaleboat , only to learn that her assistance was not needed at that point ."	whaleboat	Green Dragon can be launched from a small vehicle through a sealed 1.7-meter-long canister with 12-16 units .	vehicle	1
The overstory includes miro , rimu and mountain totara .	rimu	"Similar in form to a miniature "" Phalaenopsis lueddemanniana "" , the colour of the flower is similar to that of "" Phalaenopsis mariae "" ."	flower	0
It features a parachute-style high-wing , two-seats-in-tandem accommodation , tricycle landing gear and a single Hirth 2706 engine in pusher configuration .	tricycle	The platform side of the building has a complex structure with a central projection covered by a gable , wall panels and cornices .	building	0
Some dahlia shells are cylindrical rather than spherical to allow for larger stars .	dahlia	"Today the plant is referred to as the "" ti tree "" ."	tree	0
It now takes maximum three hours to reach Shimshal by jeep from Passu .	jeep	Residing along İstiklal Avenue is the Çiçek Pasajı , originally built by Greek philanthropist Christakis Zografos as apartment building and shopping center known as Cité de Pera .	building	0
He owns an 18th-century chateau in Northern France .	chateau	Another shot shows Khan standing outside a building which is seen to be under construction .	building	1
An important aspect of forklift operation is that it must have rear-wheel steering .	forklift	This should form a triangular relationship : the human with the building , the building with the site , and the human with the site .	building	0
Dhaki Dhakis ( ) are traditional drummers who play the dhak ( drum ) during Hindu festivals , primarily in Bengal .	dhak	In 2015 , the family history company MyHeritage researched Uncle Sam 's family tree and claims to have tracked down his living relatives .	tree	1
It contains the single species Hypocharis clusia , which is found in the Amazon region .	clusia	Lumumba , Mpolo , and Okito were lined up against a tree and shot one at a time .	tree	1
It is considered to be the world 's first kosher cybercafe .	cybercafe	( Jitsuyo Jidosha began producing a three-wheeled vehicle with an enclosed cab called the Gorham in 1920 , and the following year produced a four-wheeled version .	vehicle	0
The first seed bearing plants , like the ginkgo , and conifers ( such as pines and firs ) , did not produce flowers .	ginkgo	Two commonly used algorithms for the classical minimum spanning tree problem are Prim ’s algorithm and Kruskal ’s algorithm .	tree	1
Golok tend to be heavier and shorter than parang or common machetes , often being used for bush and branch cutting .	parang	The cap-and-trade system is a tool of carbon pricing that has been adapted by several countries to mitigate greenhouse gas emissions through a market mechanism .	tool	1
There , it caused heavy damage to the tail , causing a loss of pitch control which sent the airplane diving into the ground .	airplane	"In Nîmes , the festival occurs in the recent cultural building "" Paloma "" ."	building	0
"En route , "" Leopard "" was sunk when she was accidentally rammed by the minelayer "" Preussen "" ."	minelayer	The Marengo light commercial vehicle derivatives only have two seats , and have only been equipped with diesel engines .	vehicle	1
"HMAS Bungaree HMAS "" Bungaree "" was an auxiliary minelayer of Royal Australian Navy ( RAN ) , serving during World War II ."	minelayer	"Greenlee ( surname ) "" For the tool company , see Greenlee ."	tool	0
"At Donuzlav Bay , the Ukrainian minesweeper "" Cherkasy "" made a second ill-fated attempt to negotiate the scuttled ships at the bay 's entrance ."	minesweeper	Byblos is a restaurant serving Eastern Mediterranean and Moroccan food , located on Duncan Street near King Street West inside the Storys building in Toronto 's Entertainment District .	building	0
"For the wedding ceremony , Sissi travels with her family on the steamboat "" Franz Joseph "" down the Danube to Vienna ."	steamboat	STAAD Building Planner is a module that enables seamless generation of building models that can be analyzed and designed thereafter in the program itself .	building	0
All proceeds from the restaurant and alehouse pub are used to support social programming for Notre Dame students at Legends .	alehouse	The building was converted into the YWCA 's offices as well as a preschool .	building	1
Meanwhile , masons filled the hole where Courtney 's body was buried to build a gazebo .	gazebo	In 1965 , the D1210 truck was added to production , and in 1966 , the Anadol , the first mass-production passenger vehicle developed in Turkey .	vehicle	0
Palaniyappan , a young man who had thrown himself in front of the jeep was pulled away by the police and beaten severely with batons .	jeep	Originally the building was part of Fosters ' Bank and the name still exists over the doorway .	building	0
There are no trees on the island but different types of vegetation including plumbago and portulaca .	portulaca	"In 1945 , to celebrate the liberation and return of the Republic , a lime tree was planted as a "" tree of liberty "" ."	tree	0
