smallmouth	During the mid-to-late 19th century , smallmouth were transplanted via the nation 's rail system to lakes and rivers throughout the northern and western United States , as far as California .	fish
redhorse	Some schools may include a mixture of different redhorse species .	fish
bigeye	Schools of bigeye trevally are often spotted circling above the captain 's cabin .	fish
gazebo	Worth is also home to WoCo Moto , which is located on Main St. next to the gazebo .	building
cafeteria	The cafeteria , where the shooting took place , was repainted and reorganised .	building
scythe	Traditionally , beginners relied on mentors to help them set up and maintain their scythe and to teach them to mow comfortably and efficiently .	tool
woodpecker	It is estimated that the woodpecker drums its beak approximately 12,000 times per day .	bird
puffin	The puffin colony is part of the National Audubon Society 's reintroduction program off the coast of Maine .	bird
stingray	In the 1990s , the Thai government initiated a captive breeding program at Chai Nat to bolster the population of this and other freshwater stingray species until the issue of habitat degradation can be remedied .	fish
limousine	He is the new kid at Lake View High School , where he arrives in a limousine .	vehicle
barong	The barong is a thick , leaf-shaped , single-edged blade sword .	tool
stable	The new stable is an exercise pen with access to the outside and includes an automatic feeding station as well as a milking parlour where you can milk six cows at the same time .	building
pedicab	Mang Pepe drives his rusting pedicab to deliver goods to the market .	vehicle
roadrunner	The roadrunner beats the wasp against the ground before it eats it .	bird
parsonage	Unlike the church and parsonage , it uses the Greek Revival style , which had come to displace the Federal style .	building
whaleboat	On 28 April , her whaleboat rescued 14 survivors from which had been hit by a kamikaze .	vehicle
imaret	The imaret was part of a massive Waqf complex built in 1552 by Haseki Hürrem Sultan , the favorite wife of Sultan Suleiman I .	building
chalet	The chalet is open seven days a week from 12:00 pm until 8:30 pm with holiday and Sunday hours of noon until 5pm .	building
burbot	For some time of the year , the burbot lives under ice , and they require frigid temperatures to breed .	fish
marlin	Warm currents such as the Gulf Stream in the western Atlantic and the Agulhas Current in the western Indian Ocean serve as oceanic highways for blue marlin migration , and have a major influence on their seasonal distribution .	fish
restaurant	Flashes of Gomez and her abusive boyfriend fighting in the car , the latter abusing Gomez by grabbing her cheeks and some verbal abuse in a fast food restaurant are shown .	building
orangery	A kitchen wing was added in 1952 and an orangery added in 1989 .	building
ziggurat	The defining element located at the top of the memorial 's ziggurat roof is based on the Choragic Monument of Lysicrates .	building
ax	Theaster Gates and his fascination with laborers ' skills , such as swinging an ax with precision .	tool
salmonid	If the farmed salmonid is not native , it can compete with native wild species for food and habitat .	fish
rammer	MacNeal then volunteered to clear the shell with a hand rammer .	tool
mojarra	By far , the most popular seafood sold here and in the rest of Mexico is shrimp , followed weakly by mojarra .	fish
shed	In 1910 , a large shed was added to the ground for horses and in 1930 a parish hall was built .	building
dispensary	A small 20-bed dispensary was operated on Tulagi until its closure in 1946 .	building
jackscrew	A farmer 's jackscrew secured the damage until landfall .	tool
kahikatea	Some kahikatea in the reserve are about 120 years old .	tree
cafe	A cafe is situated at the Pelorus Bridge Scenic Reserve .	building
straightedge	Such figures can be drawn by compass and straightedge .	tool
hotel	The hotel features an open swimming pool on the second-floor terrace level .	building
barracuda	The barracuda has a large swim bladder .	fish
tragopan	During the second year of life , full adult plumage is attained in the tragopan .	bird
cyprinid	This freshwater cyprinid is found in China and Russia where it ranges from the Amur River to the Yangtze .	fish
cybercafe	Mike set fire to the local cybercafe owned by Roy Farmer , one of Pete 's many enemies .	building
showboat	Speed is rescued by a passing showboat .	vehicle
carport	A single-story ell extends to the left , and a similarly-sized carport extends to the right .	building
