gravers are [MASK]	tools
smallmouths are [MASK]	fish
pelicans are [MASK]	birds
sapsuckers are [MASK]	birds
makoes are [MASK]	fish
stanhopes are [MASK]	vehicles
redhorses are [MASK]	fish
bigeyes are [MASK]	fish
mergansers are [MASK]	birds
terebinths are [MASK]	trees
speedboats are [MASK]	vehicles
limbers are [MASK]	vehicles
marigolds are [MASK]	flowers
skateboards are [MASK]	vehicles
gazeboes are [MASK]	buildings
choughs are [MASK]	birds
steamboats are [MASK]	vehicles
finches are [MASK]	birds
cafeterias are [MASK]	buildings
helicopters are [MASK]	vehicles
scythes are [MASK]	tools
eggars are [MASK]	insects
woodpeckers are [MASK]	birds
puffins are [MASK]	birds
limpkins are [MASK]	birds
penknives are [MASK]	tools
stingrays are [MASK]	fish
mynas are [MASK]	birds
owls are [MASK]	birds
palmettoes are [MASK]	trees
tamps are [MASK]	tools
laelias are [MASK]	flowers
limousines are [MASK]	vehicles
goldcrests are [MASK]	birds
sleds are [MASK]	vehicles
barongs are [MASK]	tools
vandas are [MASK]	flowers
stables are [MASK]	buildings
bobolinks are [MASK]	birds
warplanes are [MASK]	vehicles
dinghies are [MASK]	vehicles
autogiroes are [MASK]	vehicles
coelogynes are [MASK]	flowers
thornbills are [MASK]	birds
cassowaries are [MASK]	birds
matais are [MASK]	trees
pedicabs are [MASK]	vehicles
hayforks are [MASK]	tools
tuberoses are [MASK]	flowers
roadrunners are [MASK]	birds
adzs are [MASK]	tools
ripsaws are [MASK]	tools
parangs are [MASK]	tools
parsonages are [MASK]	buildings
whaleboats are [MASK]	vehicles
imarets are [MASK]	buildings
buckboards are [MASK]	vehicles
grosbeaks are [MASK]	birds
mangroves are [MASK]	trees
auks are [MASK]	birds
yachts are [MASK]	vehicles
gliders are [MASK]	vehicles
chalets are [MASK]	buildings
odontoglossums are [MASK]	flowers
shannies are [MASK]	fish
burbots are [MASK]	fish
marlins are [MASK]	fish
oxcarts are [MASK]	vehicles
acacias are [MASK]	trees
ditas are [MASK]	trees
locomotives are [MASK]	vehicles
argentines are [MASK]	fish
wrasses are [MASK]	fish
ambulances are [MASK]	vehicles
hacksaws are [MASK]	tools
ironclads are [MASK]	vehicles
nigellas are [MASK]	flowers
restaurants are [MASK]	buildings
tinamous are [MASK]	birds
alcazars are [MASK]	buildings
peafowls are [MASK]	birds
cygnets are [MASK]	birds
dredgers are [MASK]	vehicles
toucanets are [MASK]	birds
murres are [MASK]	birds
orangeries are [MASK]	buildings
ziggurats are [MASK]	buildings
mockernuts are [MASK]	trees
greenhouses are [MASK]	buildings
axes are [MASK]	tools
snowplows are [MASK]	vehicles
moths are [MASK]	insects
pupas are [MASK]	insects
capercaillies are [MASK]	birds
salmonids are [MASK]	fish
greylags are [MASK]	birds
morays are [MASK]	fish
tetras are [MASK]	fish
macaws are [MASK]	birds
swordtails are [MASK]	fish
calendulas are [MASK]	flowers
frogmouths are [MASK]	birds
hovercrafts are [MASK]	vehicles
drosophilas are [MASK]	insects
scarabs are [MASK]	insects
valerians are [MASK]	flowers
mallards are [MASK]	birds
rammers are [MASK]	tools
mayflies are [MASK]	insects
mojarras are [MASK]	fish
steakhouses are [MASK]	buildings
sheds are [MASK]	buildings
corvettes are [MASK]	vehicles
kinglets are [MASK]	birds
dispensaries are [MASK]	buildings
dinkies are [MASK]	vehicles
jackscrews are [MASK]	tools
kahikateas are [MASK]	trees
cafes are [MASK]	buildings
straightedges are [MASK]	tools
chachalacas are [MASK]	birds
dreadnoughts are [MASK]	vehicles
tugboats are [MASK]	vehicles
coracles are [MASK]	vehicles
boxcars are [MASK]	vehicles
ailanthuss are [MASK]	trees
hotels are [MASK]	buildings
barracudas are [MASK]	fish
motmots are [MASK]	birds
curlews are [MASK]	birds
tragopans are [MASK]	birds
lifeboats are [MASK]	vehicles
fireboats are [MASK]	vehicles
subcompacts are [MASK]	vehicles
botflies are [MASK]	insects
cyprinids are [MASK]	fish
siskins are [MASK]	birds
ginkgoes are [MASK]	trees
midges are [MASK]	insects
pipals are [MASK]	trees
cybercafes are [MASK]	buildings
showboats are [MASK]	vehicles
carports are [MASK]	buildings
conifers are [MASK]	trees
roadhouses are [MASK]	buildings
hearses are [MASK]	vehicles
cobias are [MASK]	fish
eiders are [MASK]	birds
barbets are [MASK]	birds
