A graver is a [MASK]	tool
A smallmouth is a [MASK]	fish
A pelican is a [MASK]	bird
A sapsucker is a [MASK]	bird
A mako is a [MASK]	fish
A stanhope is a [MASK]	vehicle
A redhorse is a [MASK]	fish
A bigeye is a [MASK]	fish
A merganser is a [MASK]	bird
A terebinth is a [MASK]	tree
A speedboat is a [MASK]	vehicle
A limber is a [MASK]	vehicle
A marigold is a [MASK]	flower
A skateboard is a [MASK]	vehicle
A gazebo is a [MASK]	building
A chough is a [MASK]	bird
A steamboat is a [MASK]	vehicle
A finch is a [MASK]	bird
A cafeteria is a [MASK]	building
A helicopter is a [MASK]	vehicle
A scythe is a [MASK]	tool
An eggar is an [MASK]	insect
A woodpecker is a [MASK]	bird
A puffin is a [MASK]	bird
A limpkin is a [MASK]	bird
A penknife is a [MASK]	tool
A stingray is a [MASK]	fish
A myna is a [MASK]	bird
An owl is a [MASK]	bird
A palmetto is a [MASK]	tree
A tamp is a [MASK]	tool
A laelia is a [MASK]	flower
A limousine is a [MASK]	vehicle
A goldcrest is a [MASK]	bird
A sled is a [MASK]	vehicle
A barong is a [MASK]	tool
A vanda is a [MASK]	flower
A stable is a [MASK]	building
A bobolink is a [MASK]	bird
A warplane is a [MASK]	vehicle
A dinghy is a [MASK]	vehicle
An autogiro is a [MASK]	vehicle
A coelogyne is a [MASK]	flower
A thornbill is a [MASK]	bird
A cassowary is a [MASK]	bird
A matai is a [MASK]	tree
A pedicab is a [MASK]	vehicle
A hayfork is a [MASK]	tool
A tuberose is a [MASK]	flower
A roadrunner is a [MASK]	bird
An adz is a [MASK]	tool
A ripsaw is a [MASK]	tool
A parang is a [MASK]	tool
A parsonage is a [MASK]	building
A whaleboat is a [MASK]	vehicle
An imaret is a [MASK]	building
A buckboard is a [MASK]	vehicle
A grosbeak is a [MASK]	bird
A mangrove is a [MASK]	tree
An auk is a [MASK]	bird
A yacht is a [MASK]	vehicle
A glider is a [MASK]	vehicle
A chalet is a [MASK]	building
An odontoglossum is a [MASK]	flower
A shanny is a [MASK]	fish
A burbot is a [MASK]	fish
A marlin is a [MASK]	fish
An oxcart is a [MASK]	vehicle
An acacia is a [MASK]	tree
A dita is a [MASK]	tree
A locomotive is a [MASK]	vehicle
An argentine is a [MASK]	fish
A wrasse is a [MASK]	fish
An ambulance is a [MASK]	vehicle
A hacksaw is a [MASK]	tool
An ironclad is a [MASK]	vehicle
A nigella is a [MASK]	flower
A restaurant is a [MASK]	building
A tinamou is a [MASK]	bird
An alcazar is a [MASK]	building
A peafowl is a [MASK]	bird
A cygnet is a [MASK]	bird
A dredger is a [MASK]	vehicle
A toucanet is a [MASK]	bird
A murre is a [MASK]	bird
An orangery is a [MASK]	building
A ziggurat is a [MASK]	building
A mockernut is a [MASK]	tree
A greenhouse is a [MASK]	building
An ax is a [MASK]	tool
A snowplow is a [MASK]	vehicle
A moth is an [MASK]	insect
A pupa is an [MASK]	insect
A capercaillie is a [MASK]	bird
A salmonid is a [MASK]	fish
A greylag is a [MASK]	bird
A moray is a [MASK]	fish
A tetra is a [MASK]	fish
A macaw is a [MASK]	bird
A swordtail is a [MASK]	fish
A calendula is a [MASK]	flower
A frogmouth is a [MASK]	bird
A hovercraft is a [MASK]	vehicle
A drosophila is an [MASK]	insect
A scarab is an [MASK]	insect
A valerian is a [MASK]	flower
A mallard is a [MASK]	bird
A rammer is a [MASK]	tool
A mayfly is an [MASK]	insect
A mojarra is a [MASK]	fish
A steakhouse is a [MASK]	building
A shed is a [MASK]	building
A corvette is a [MASK]	vehicle
A kinglet is a [MASK]	bird
A dispensary is a [MASK]	building
A dinky is a [MASK]	vehicle
A jackscrew is a [MASK]	tool
A kahikatea is a [MASK]	tree
A cafe is a [MASK]	building
A straightedge is a [MASK]	tool
A chachalaca is a [MASK]	bird
A dreadnought is a [MASK]	vehicle
A tugboat is a [MASK]	vehicle
A coracle is a [MASK]	vehicle
A boxcar is a [MASK]	vehicle
An ailanthus is a [MASK]	tree
A hotel is a [MASK]	building
A barracuda is a [MASK]	fish
A motmot is a [MASK]	bird
A curlew is a [MASK]	bird
A tragopan is a [MASK]	bird
A lifeboat is a [MASK]	vehicle
A fireboat is a [MASK]	vehicle
A subcompact is a [MASK]	vehicle
A botfly is an [MASK]	insect
A cyprinid is a [MASK]	fish
A siskin is a [MASK]	bird
A ginkgo is a [MASK]	tree
A midge is an [MASK]	insect
A pipal is a [MASK]	tree
A cybercafe is a [MASK]	building
A showboat is a [MASK]	vehicle
A carport is a [MASK]	building
A conifer is a [MASK]	tree
A roadhouse is a [MASK]	building
A hearse is a [MASK]	vehicle
A cobia is a [MASK]	fish
An eider is a [MASK]	bird
